cas_rn,chemical_name,fraction,result_unit,streams_param,lakes_param,rownum,dups,CHEM_PARAMETER_CDE,CHEM_PARAMETER_GROUP_ME,CHEM_PARAMETER_NAME_DESC,CHEM_PARAMETER_EPA_SRS_NUM,CHEM_PARAMETER_ID,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID,check,notes.check,alt.pcode,altpcode
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",D,mg/l,X,NA,102,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16984-48-8,"FLUORIDE, UNDISTILLED",T,mg/l,X,NA,103,1,U00951,"Inorganics, Major, Non-metals","Fluoride, water, unfiltered, milligrams per liter",Fluoride,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
NO3NO2N,NITRATE+NITRITE AS NITROGEN,T,mg/l,X,NA,104,1,U00628,Nutrient,"Nitrate plus nitrite, suspended sediment, total, milligrams per liter as nitrogen",Inorganic nitrogen (nitrate and nitrite),"NA","NA","NA","NA","NA",yes,repeat?,NA,"NA"
PH,PH,T,pH units,X,NA,105,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7723-14-0,"PHOSPHORUS, TOTAL (AS P)",T,mg/l,X,NA,106,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEMP,TEMPERATURE OF PH ANALYSIS,T,deg c,X,NA,107,1,U00010,Physical,"Temperature, water, degrees Celsius","Temperature, water","NA","NA","NA","NA","NA","NA","NA","NA",NA
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",D,mg/l,X,NA,108,1,U00681,"Organics, other","Organic carbon, water, filtered, milligrams per liter",Organic carbon,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
PDORTHO,"ORTHOPHOSPHATE AS PHOSPHORUS, DISSOLVED",D,mg/l,X,NA,109,1,U00660,Nutrient,"Orthophosphate, water, filtered, milligrams per liter as PO4",Phosphate,"NA","NA","NA","NA","NA",yes,repeat,NA,"NA"
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,umhos/cm,X,NA,110,1,U00095,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",Specific conductance,"NA","NA","NA","NA","NA","NA","NA","NA",NA
7440-38-2,ARSENIC,D,ug/l,X,NA,111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7440-22-4,SILVER,D,ug/l,X,NA,112,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,deg c,X,NA,113,1,U00095,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",Specific conductance,"NA","NA","NA","NA","NA","NA","NA","NA",NA
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",T,mg/l,X,NA,114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PDORTHO,"ORTHOPHOSPHATE AS PHOSPHORUS, DISSOLVED",T,mg/l,X,NA,115,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-25-2,BROMOFORM,T,ug/l,X,NA,116,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460-00-4,P-BROMOFLUOROBENZENE,T,percent,X,NA,117,1,U90654,Information,"1-Bromo-4-fluorobenzene, surrogate, water, filtered, percent recovery",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
1868-53-7,DIBROMOFLUOROMETHANE,T,percent,X,NA,118,1,U52001,Information,"Dibromofluoromethane, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
2037-26-5,TOLUENE-D8,T,percent,X,NA,119,1,U99833,Information,"Toluene-d8, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA",yes,alternative:91818,NA,"NA"
600-05-5,"2,3-DIBROMOPROPIONIC ACID",T,percent,X,NA,120,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
631-64-1,DIBROMOACETIC ACID,T,ug/l,X,NA,121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-43-6,DICHLOROACETIC ACID,T,ug/l,X,NA,122,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-08-3,MONOBROMOACETIC ACID,T,ug/l,X,NA,123,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-11-8,MONOCHLOROACETIC ACID,T,ug/l,X,NA,124,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76-03-9,TRICHLOROACETIC ACID,T,ug/l,X,NA,125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460-00-4,1-BROMO-4-FLUOROBENZENE BROMOFLUOROBENZENE),T,percent,X,NA,126,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7439-97-6,MERCURY,T,ng/L,X,NA,127,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ACIDITY, HYDROGEN ION (H+)",NA,NA,NA,X,128,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ALKALINITY, TOTAL (AS CACO3)",T,mg/L,NA,X,129,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ALUMINUM,T,ug/L,NA,X,130,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AMMONIA,T,mg/L,NA,X,131,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ANATOXIN-A,NA,ug/L,NA,X,132,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,APPARENT COLOR,T,color units,NA,X,133,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ARSENIC,T,ug/L,NA,X,134,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,BENZENE,T,mg/L,NA,X,135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,BMAA (BETA-METHYL-AMINO-(L)-ALANINE),NA,ug/L,NA,X,136,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,BORON,T,ug/L,NA,X,137,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
