cas_rn,chemical_name,fraction,result_unit
75-09-2,METHYLENE CHLORIDE,T,ug/l
121-48-1,CHLORODIBROMOMETHANE,T,ug/l
75-01-4,VINYL CHLORIDE,T,ug/l
124-48-1,DIBROMOCHLOROMETHANE,T,ug/l
7439-97-6,MERCURY,T,ng/l
7440-66-6,ZINC,D,ug/l
7439-95-4,MAGNESIUM,T,ug/l
7440-09-7,POTASSIUM,T,ug/l
7440-23-5,SODIUM,T,ug/l
7440-70-2,CALCIUM,T,ug/l
DOC,DISSOLVED ORGANIC CARBON,D,mg/l
14265-44-2,PHOSPHATE ION,D,mg/l
17060-07-0,"1,2-DICHLOROETHANE-D4",T,%
2037-26-5,TOLUENE-D8,T,%
460-00-4,P-BROMOFLUOROBENZENE,T,%
DOC,DISSOLVED ORGANIC CARBON,T,mg/l
17060-07-0,"1,2-DICHLOROETHANE-D4",T,ug/l
2037-26-5,TOLUENE-D8,T,ug/l
460-00-4,P-BROMOFLUOROBENZENE,T,ug/l
DISS_OXYGEN,DISSOLVED OXYGEN,D,mg/l
PDORTHO,"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",D,mg/l
7440-44-0,TOTAL CARBON,T,mg/l
COND,CONDUCTIVITY,T,umhos/cm
7439-97-6,MERCURY,T,ppt
PDORTHO,"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",T,mg/l
ARC-NO3NO2N,"NITROGEN, NITRITE + NITRATE",T,mg/l
479-61-8,CHLOROPHYLL A,T,ug/l
7440-44-0,TOTAL CARBON,D,mg/l
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",D,mg/l
COND,SPECIFIC CONDUCTANCE,T,umhos/cm
16984-48-8,"FLUORIDE, UNDISTILLED",T,mg/l
NO3NO2N,NITRATE+NITRITE AS NITROGEN,T,mg/l
PH,PH,T,pH units
7723-14-0,"PHOSPHORUS, TOTAL (AS P)",T,mg/l
SOLID,TOTAL SOLIDS,T,mg/l
TEMP,TEMPERATURE OF PH ANALYSIS,T,deg c
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",D,mg/l
PDORTHO,"ORTHOPHOSPHATE AS PHOSPHORUS, DISSOLVED",D,mg/l
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,umhos/cm
7440-38-2,ARSENIC,D,ug/l
7440-22-4,SILVER,D,ug/l
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,deg c
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",T,mg/l
PDORTHO,"ORTHOPHOSPHATE AS PHOSPHORUS, DISSOLVED",T,mg/l
KN,NITROGEN,T,mg/l
75-25-2,BROMOFORM,T,ug/l
460-00-4,P-BROMOFLUOROBENZENE,T,percent
1868-53-7,DIBROMOFLUOROMETHANE,T,percent
2037-26-5,TOLUENE-D8,T,percent
600-05-5,"2,3-DIBROMOPROPIONIC ACID",T,percent
631-64-1,DIBROMOACETIC ACID,T,ug/l
79-43-6,DICHLOROACETIC ACID,T,ug/l
79-08-3,MONOBROMOACETIC ACID,T,ug/l
79-11-8,MONOCHLOROACETIC ACID,T,ug/l
76-03-9,TRICHLOROACETIC ACID,T,ug/l
460-00-4,1-BROMO-4-FLUOROBENZENE BROMOFLUOROBENZENE),T,percent
7439-97-6,MERCURY,T,ng/L
234432-85-0,"CHLOROBIPHENYL-C13, 2- (IUPAC 1L)",T,percent
234432-89-4,"PENTACHLOROBIPHENYL-C13, 2,2',4,6,6'- (IUPAC 104L)",T,percent
208263-62-1,"PENTACHLOROBIPHENYL-C13, 2,3,3',4,4'- (IUPAC 105L)",T,percent
235416-29-2,"PENTACHLOROBIPHENYL-C13, 2,3,3',5,5'- (IUPAC 111L)",T,percent
208263-63-2,"PENTACHLOROBIPHENYL-C13, 2,3,4,4',5- (IUPAC 114L)",T,percent
104130-40-7,"PENTACHLOROBIPHENYL-C13, 2,3',4,4',5- (IUPAC 118L)",T,percent
208263-64-3,"PENTACHLOROBIPHENYL-C13, 2',3,4,4',5- (IUPAC 123L)",T,percent
208263-65-4,"PENTACHLOROBIPHENYL-C13, 3,3',4,4',5- (IUPAC 126L)",T,percent
208263-67-6,"DICHLOROBIPHENYL-C13, 4,4'- (IUPAC 15L)",T,percent
234432-90-7,"HEXACHLOROBIPHENYL-C13, 2,2',4,4',6,6'- (IUPAC 155L)",T,percent
13C12 PCB 156/157,13C12 PCB 156/157,T,percent
208263-69-8,"HEXACHLOROBIPHENYL-C13, 2,3',4,4',5,5'- (IUPAC 167L)",T,percent
208263-70-1,"HEXACHLOROBIPHENYL-C13, 3,3',4,4',5,5'- (IUPAC 169L)",T,percent
232919-67-4,"HEPTACHLOROBIPHENYL-C13, 2,2',3,3',5,5',6- (IUPAC 178L)",T,percent
234432-91-8,"HEPTACHLOROBIPHENYL-C13, 2,2',3,4',5,6,6'- (IUPAC 188L)",T,percent
208263-73-4,"HEPTACHLOROBIPHENYL-C13, 2,3,3',4,4',5,5'- (IUPAC 189L)",T,percent
234432-87-2,"TRICHLOROBIPHENYL-C13, 2,2',6- (IUPAC 19L)",T,percent
105600-26-8,"OCTACHLOROBIPHENYL-C13, 2,2',3,3',5,5',6,6'- (IUPAC 202L)",T,percent
234446-64-1,"OCTACHLOROBIPHENYL-C13, 2,3,3',4,4',5,5',6- (IUPAC 205L)",T,percent
208263-75-6,"NONACHLOROBIPHENYL-C13, 2,2',3,3',4,4',5,5',6- (IUPAC 206L)",T,percent
234432-92-9,"NONACHLOROBIPHENYL-C13, 2,2',3,3',4,5,5',6,6'- (IUPAC 208L)",T,percent
105600-27-9,DECACHLOROBIPHENYL-C13 (PCB  209L),T,percent
208263-76-7,"TRICHLOROBIPHENYL-C13, 2,4,4'- (IUPAC 28L)",T,percent
208263-77-8,"CHLOROBIPHENYL-C13, 4- (IUPAC 3L)",T,percent
208263-79-0,"TRICHLOROBIPHENYL-C13, 3,4,4'- (IUPAC 37L)",T,percent
234432-86-1,"DICHLOROBIPHENYL-C13, 2,2'- (IUPAC 4L)",T,percent
234432-88-3,"TETRACHLOROBIPHENYL-C13, 2,2',6,6'- (IUPAC 54L)",T,percent
105600-23-5,"TETRACHLOROBIPHENYL-C13, 3,3',4,4'- (IUPAC 77L)",T,percent
208461-24-9,"TETRACHLOROBIPHENYL-C13, 3,4,4',5- (IUPAC 81L)",T,percent
2051-24-3,DECACHLOROBIPHENYL (PCB 209),T,pg/l
2051-60-7,"MONOCHLOROBIPHENYL, 2- (IUPAC 1)",T,pg/l
33146-45-1,"DICHLOROBIPHENYL, 2,6- (IUPAC 10)",T,pg/l
PCBs 100 + 93 + 102 + 98,PCBS 100 + 93 + 102 + 98,T,pg/l
60145-21-3,"PENTACHLOROBIPHENYL, 2,2',4,5',6- (IUPAC 103)",T,pg/l
56558-16-8,"PENTACHLOROBIPHENYL, 2,2',4,6,6'- (IUPAC 104)",T,pg/l
32598-14-4,"PENTACHLOROBIPHENYL, 2,3,3',4,4'- (IUPAC 105)",T,pg/l
70424-69-0,"PENTACHLOROBIPHENYL, 2,3,3',4,5- (IUPAC 106)",T,pg/l
70424-68-9,"PENTACHLOROBIPHENYL, 2,3,3',4',5- (IUPAC 107)",T,pg/l
PCBs 108 + 124,PCBS 108 + 124,T,pg/l
PCBs 109 + 119 + 86 + 97 + 125 + 87,PCBS 109 + 119 + 86 + 97 + 125 + 87,T,pg/l
2050-67-1,"DICHLOROBIPHENYL, 3,3'- (IUPAC 11)",T,pg/l
39635-32-0,"PENTACHLOROBIPHENYL, 2,3,3',5,5'- (IUPAC 111)",T,pg/l
74472-36-9,"PENTACHLOROBIPHENYL, 2,3,3',5,6- (IUPAC 112)",T,pg/l
PCB 113/90/101,PCB 113/90/101,T,pg/l
74472-37-0,"PENTACHLOROBIPHENYL, 2,3,4,4',5- (IUPAC 114)",T,pg/l
PCBs 117 + 116 + 85 + 110 + 115,PCBS 117 + 116 + 85 + 110 + 115,T,pg/l
31508-00-6,"PENTACHLOROBIPHENYL, 2,3',4,4',5- (IUPAC 118)",T,pg/l
68194-12-7,"PENTACHLOROBIPHENYL, 2,3',4,5,5'- (IUPAC 120)",T,pg/l
56558-18-0,"PENTACHLOROBIPHENYL, 2,3',4,5',6- (IUPAC 121)",T,pg/l
76842-07-4,"PENTACHLOROBIPHENYL, 2',3,3',4,5- (IUPAC 122)",T,pg/l
65510-44-3,"PENTACHLOROBIPHENYL, 2',3,4,4',5- (IUPAC 123)",T,pg/l
57465-28-8,"PENTACHLOROBIPHENYL, 3,3',4,4',5- (IUPAC 126)",T,pg/l
39635-33-1,"PENTACHLOROBIPHENYL, 3,3',4,5,5'- (IUPAC 127)",T,pg/l
PCB 128/166,PCB 128/166,T,pg/l
PCBs 13 + 12,PCBS 13 + 12,T,pg/l
52663-66-8,"HEXACHLOROBIPHENYL, 2,2',3,3',4,5'- (IUPAC 130)",T,pg/l
61798-70-7,"HEXACHLOROBIPHENYL, 2,2',3,3',4,6- (IUPAC 131)",T,pg/l
38380-05-1,"HEXACHLOROBIPHENYL, 2,2',3,3',4,6'- (IUPAC 132)",T,pg/l
35694-04-3,"HEXACHLOROBIPHENYL, 2,2',3,3',5,5'- (IUPAC 133)",T,pg/l
PCBs 134 + 143,PCBS 134 + 143,T,pg/l
38411-22-2,"HEXACHLOROBIPHENYL, 2,2',3,3',6,6'- (IUPAC 136)",T,pg/l
PCBs 137 + 164,PCBS 137 + 164,T,pg/l
PCB 138/163/129,PCB 138/163/129,T,pg/l
PCBs 139 + 140,PCBS 139 + 140,T,pg/l
34883-41-5,"DICHLOROBIPHENYL, 3,5- (IUPAC 14)",T,pg/l
52712-04-6,"HEXACHLOROBIPHENYL, 2,2',3,4,5,5'- (IUPAC 141)",T,pg/l
41411-61-4,"HEXACHLOROBIPHENYL, 2,2',3,4,5,6- (IUPAC 142)",T,pg/l
68194-14-9,"HEXACHLOROBIPHENYL, 2,2',3,4,5',6- (IUPAC 144)",T,pg/l
74472-40-5,"HEXACHLOROBIPHENYL, 2,2',3,4,6,6'- (IUPAC 145)",T,pg/l
51908-16-8,"HEXACHLOROBIPHENYL, 2,2',3,4',5,5'- (IUPAC 146)",T,pg/l
PCB 147/149,PCB 147/149,T,pg/l
74472-41-6,"HEXACHLOROBIPHENYL, 2,2',3,4',5,6'- (IUPAC 148)",T,pg/l
2050-68-2,"DICHLOROBIPHENYL, 4,4'- (IUPAC 15)",T,pg/l
68194-08-1,"HEXACHLOROBIPHENYL, 2,2',3,4',6,6'- (IUPAC 150)",T,pg/l
PCBs 151 + 135,PCBS 151 + 135,T,pg/l
68194-09-2,"HEXACHLOROBIPHENYL, 2,2',3,5,6,6'- (IUPAC 152)",T,pg/l
60145-22-4,"HEXACHLOROBIPHENYL, 2,2',4,4',5,6'- (IUPAC 154)",T,pg/l
33979-03-2,"HEXACHLOROBIPHENYL, 2,2',4,4',6,6'- (IUPAC 155)",T,pg/l
PCB 156/157,PCB 156/157,T,pg/l
74472-42-7,"HEXACHLOROBIPHENYL, 2,3,3',4,4',6- (IUPAC 158)",T,pg/l
39635-35-3,"HEXACHLOROBIPHENYL, 2,3,3',4,5,5'- (IUPAC 159)",T,pg/l
38444-78-9,"TRICHLOROBIPHENYL, 2,2',3- (IUPAC 16)",T,pg/l
41411-62-5,"HEXACHLOROBIPHENYL, 2,3,3',4,5,6- (IUPAC 160)",T,pg/l
74472-43-8,"HEXACHLOROBIPHENYL, 2,3,3',4,5',6- (IUPAC 161)",T,pg/l
39635-34-2,"HEXACHLOROBIPHENYL, 2,3,3',4',5,5'- (IUPAC 162)",T,pg/l
74472-46-1,"HEXACHLOROBIPHENYL, 2,3,3',5,5',6- (IUPAC 165)",T,pg/l
52663-72-6,"HEXACHLOROBIPHENYL, 2,3',4,4',5,5'- (IUPAC 167)",T,pg/l
PCB 168 & 153,PCB 168 & 153,T,pg/l
32774-16-6,"HEXACHLOROBIPHENYL, 3,3',4,4',5,5'- (IUPAC 169)",T,pg/l
37680-66-3,"TRICHLOROBIPHENYL, 2,2',4- (IUPAC 17)",T,pg/l
35065-30-6,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,4',5- (IUPAC 170)",T,pg/l
PCBs 171 + 173,PCBS 171 + 173,T,pg/l
52663-74-8,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,5,5'- (IUPAC 172)",T,pg/l
38411-25-5,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,5,6'- (IUPAC 174)",T,pg/l
40186-70-7,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,5',6- (IUPAC 175)",T,pg/l
52663-65-7,"HEPTACHLOROBIPHENYL, 2,2',3,3',4,6,6'- (IUPAC 176)",T,pg/l
52663-70-4,"HEPTACHLOROBIPHENYL, 2,2',3,3',4',5,6- (IUPAC 177)",T,pg/l
52663-67-9,"HEPTACHLOROBIPHENYL, 2,2',3,3',5,5',6- (IUPAC 178)",T,pg/l
52663-64-6,"HEPTACHLOROBIPHENYL, 2,2',3,3',5,6,6'- (IUPAC 179)",T,pg/l
PCB 180/193,PCB 180/193,T,pg/l
74472-47-2,"HEPTACHLOROBIPHENYL, 2,2',3,4,4',5,6- (IUPAC 181)",T,pg/l
60145-23-5,"HEPTACHLOROBIPHENYL, 2,2',3,4,4',5,6'- (IUPAC 182)",T,pg/l
52663-69-1,"HEPTACHLOROBIPHENYL, 2,2',3,4,4',5',6- (IUPAC 183)",T,pg/l
74472-48-3,"HEPTACHLOROBIPHENYL, 2,2',3,4,4',6,6'- (IUPAC 184)",T,pg/l
52712-05-7,"HEPTACHLOROBIPHENYL, 2,2',3,4,5,5',6- (IUPAC 185)",T,pg/l
74472-49-4,"HEPTACHLOROBIPHENYL, 2,2',3,4,5,6,6'- (IUPAC 186)",T,pg/l
52663-68-0,"HEPTACHLOROBIPHENYL, 2,2',3,4',5,5',6- (IUPAC 187)",T,pg/l
74487-85-7,"HEPTACHLOROBIPHENYL, 2,2',3,4',5,6,6'- (IUPAC 188)",T,pg/l
39635-31-9,"HEPTACHLOROBIPHENYL, 2,3,3',4,4',5,5'- (IUPAC 189)",T,pg/l
38444-73-4,"TRICHLOROBIPHENYL, 2,2',6- (IUPAC 19)",T,pg/l
41411-64-7,"HEPTACHLOROBIPHENYL, 2,3,3',4,4',5,6- (IUPAC 190)",T,pg/l
74472-50-7,"HEPTACHLOROBIPHENYL, 2,3,3',4,4',5',6- (IUPAC 191)",T,pg/l
74472-51-8,"HEPTACHLOROBIPHENYL, 2,3,3',4,5,5',6- (IUPAC 192)",T,pg/l
35694-08-7,"OCTACHLOROBIPHENYL, 2,2',3,3',4,4',5,5'- (IUPAC 194)",T,pg/l
52663-78-2,"OCTACHLOROBIPHENYL, 2,2',3,3',4,4',5,6- (IUPAC 195)",T,pg/l
42740-50-1,"OCTACHLOROBIPHENYL, 2,2',3,3',4,4',5,6'- (IUPAC 196)",T,pg/l
33091-17-7,"OCTACHLOROBIPHENYL, 2,2',3,3',4,4',6,6'- (IUPAC 197)",T,pg/l
PCBs 198 + 199,PCBS 198 + 199,T,pg/l
2051-61-8,"CHLOROBIPHENYL, 3- (IUPAC 2)",T,pg/l
52663-73-7,"OCTACHLOROBIPHENYL, 2,2',3,3',4,5,6,6'- (IUPAC 200)",T,pg/l
40186-71-8,"OCTACHLOROBIPHENYL, 2,2',3,3',4,5',6,6'- (IUPAC 201)",T,pg/l
2136-99-4,"OCTACHLOROBIPHENYL, 2,2',3,3',5,5',6,6'- (IUPAC 202)",T,pg/l
52663-76-0,"OCTACHLOROBIPHENYL, 2,2',3,4,4',5,5',6- (IUPAC 203)",T,pg/l
74472-52-9,"OCTACHLOROBIPHENYL, 2,2',3,4,4',5,6,6'- (IUPAC 204)",T,pg/l
74472-53-0,"OCTACHLOROBIPHENYL, 2,3,3',4,4',5,5',6- (IUPAC 205)",T,pg/l
40186-72-9,"NONACHLOROBIPHENYL, 2,2',3,3',4,4',5,5',6- (IUPAC 206)",T,pg/l
52663-79-3,"NONACHLOROBIPHENYL, 2,2',3,3',4,4',5,6,6'- (IUPAC 207)",T,pg/l
52663-77-1,"NONACHLOROBIPHENYL, 2,2',3,3',4,5,5',6,6'- (IUPAC 208)",T,pg/l
PCBs 21 + 33,PCBS 21 + 33,T,pg/l
38444-85-8,"TRICHLOROBIPHENYL, 2,3,4'- (IUPAC 22)",T,pg/l
55720-44-0,"TRICHLOROBIPHENYL, 2,3,5- (IUPAC 23)",T,pg/l
55702-45-9,"TRICHLOROBIPHENYL, 2,3,6- (IUPAC 24)",T,pg/l
55712-37-3,"TRICHLOROBIPHENYL, 2,3',4- (IUPAC 25)",T,pg/l
38444-76-7,"TRICHLOROBIPHENYL, 2,3',6- (IUPAC 27)",T,pg/l
PCB 28/20,PCB 28/20,T,pg/l
PCBs 29 + 26,PCBS 29 + 26,T,pg/l
2051-62-9,"CHLOROBIPHENYL, 4- (IUPAC 3)",T,pg/l
PCBs 18 + 30,PCBS 18 + 30,T,pg/l
16606-02-3,"TRICHLOROBIPHENYL, 2,4',5- (IUPAC 31)",T,pg/l
38444-77-8,"TRICHLOROBIPHENYL, 2,4',6- (IUPAC 32)",T,pg/l
37680-68-5,"TRICHLOROBIPHENYL, 2',3,5- (IUPAC 34)",T,pg/l
37680-69-6,"TRICHLOROBIPHENYL, 3,3',4- (IUPAC 35)",T,pg/l
38444-87-0,"TRICHLOROBIPHENYL, 3,3',5- (IUPAC 36)",T,pg/l
38444-90-5,"TRICHLOROBIPHENYL, 3,4,4'- (IUPAC 37)",T,pg/l
53555-66-1,"TRICHLOROBIPHENYL, 3,4,5- (IUPAC 38)",T,pg/l
38444-88-1,"TRICHLOROBIPHENYL, 3,4',5- (IUPAC 39)",T,pg/l
13029-08-8,"DICHLOROBIPHENYL, 2,2'- (IUPAC 4)",T,pg/l
PCBs 41 + 71 + 40,PCBS 41 + 71 + 40,T,pg/l
36559-22-5,"TETRACHLOROBIPHENYL, 2,2',3,4'- (IUPAC 42)",T,pg/l
70362-46-8,"TETRACHLOROBIPHENYL, 2,2',3,5- (IUPAC 43)",T,pg/l
PCBs 44 + 47 + 65,PCBS 44 + 47 + 65,T,pg/l
PCBs 45 + 51,PCBS 45 + 51,T,pg/l
41464-47-5,"TETRACHLOROBIPHENYL, 2,2',3,6'- (IUPAC 46)",T,pg/l
70362-47-9,"TETRACHLOROBIPHENYL, 2,2',4,5- (IUPAC 48)",T,pg/l
16605-91-7,"DICHLOROBIPHENYL, 2,3- (IUPAC 5)",T,pg/l
PCBs 50 + 53,PCBS 50 + 53,T,pg/l
35693-99-3,"TETRACHLOROBIPHENYL, 2,2',5,5'- (IUPAC 52)",T,pg/l
15968-05-5,"TETRACHLOROBIPHENYL, 2,2',6,6'- (IUPAC 54)",T,pg/l
74338-24-2,"TETRACHLOROBIPHENYL, 2,3,3',4- (IUPAC 55)",T,pg/l
41464-43-1,"TETRACHLOROBIPHENYL, 2,3,3',4'- (IUPAC 56)",T,pg/l
70424-67-8,"TETRACHLOROBIPHENYL, 2,3,3',5- (IUPAC 57)",T,pg/l
41464-49-7,"TETRACHLOROBIPHENYL, 2,3,3',5'- (IUPAC 58)",T,pg/l
PCBs 59 + 62 + 75,PCBS 59 + 62 + 75,T,pg/l
25569-80-6,"DICHLOROBIPHENYL, 2,3'- (IUPAC 6)",T,pg/l
33025-41-1,"TETRACHLOROBIPHENYL, 2,3,4,4'- (IUPAC 60)",T,pg/l
PCBs 61 + 70 + 74 + 76,PCBS 61 + 70 + 74 + 76,T,pg/l
74472-34-7,"TETRACHLOROBIPHENYL, 2,3,4',5- (IUPAC 63)",T,pg/l
52663-58-8,"TETRACHLOROBIPHENYL, 2,3,4',6- (IUPAC 64)",T,pg/l
32598-10-0,"TETRACHLOROBIPHENYL, 2,3',4,4'- (IUPAC 66)",T,pg/l
73575-53-8,"TETRACHLOROBIPHENYL, 2,3',4,5- (IUPAC 67)",T,pg/l
73575-52-7,"TETRACHLOROBIPHENYL, 2,3',4,5'- (IUPAC 68)",T,pg/l
PCB 69/49,PCB 69/49,T,pg/l
33284-50-3,"DICHLOROBIPHENYL, 2,4- (IUPAC 7)",T,pg/l
41464-42-0,"TETRACHLOROBIPHENYL, 2,3',5,5'- (IUPAC 72)",T,pg/l
74338-23-1,"TETRACHLOROBIPHENYL, 2,3',5',6- (IUPAC 73)",T,pg/l
32598-13-3,"TETRACHLOROBIPHENYL, 3,3',4,4'- (IUPAC 77)",T,pg/l
70362-49-1,"TETRACHLOROBIPHENYL, 3,3',4,5- (IUPAC 78)",T,pg/l
41464-48-6,"TETRACHLOROBIPHENYL, 3,3',4,5'- (IUPAC 79)",T,pg/l
34883-43-7,"DICHLOROBIPHENYL, 2,4'- (IUPAC 8)",T,pg/l
33284-52-5,"TETRACHLOROBIPHENYL, 3,3',5,5'- (IUPAC 80)",T,pg/l
70362-50-4,"TETRACHLOROBIPHENYL, 3,4,4',5- (IUPAC 81)",T,pg/l
52663-62-4,"PENTACHLOROBIPHENYL, 2,2',3,3',4- (IUPAC 82)",T,pg/l
PCBs 83 + 99,PCBS 83 + 99,T,pg/l
52663-60-2,"PENTACHLOROBIPHENYL, 2,2',3,3',6- (IUPAC 84)",T,pg/l
PCBs 88 + 91,PCBS 88 + 91,T,pg/l
73575-57-2,"PENTACHLOROBIPHENYL, 2,2',3,4,6'- (IUPAC 89)",T,pg/l
34883-39-1,"DICHLOROBIPHENYL, 2,5- (IUPAC 9)",T,pg/l
52663-61-3,"PENTACHLOROBIPHENYL, 2,2',3,5,5'- (IUPAC 92)",T,pg/l
73575-55-0,"PENTACHLOROBIPHENYL, 2,2',3,5,6'- (IUPAC 94)",T,pg/l
38379-99-6,"PENTACHLOROBIPHENYL, 2,2',3,5',6- (IUPAC 95)",T,pg/l
73575-54-9,"PENTACHLOROBIPHENYL, 2,2',3,6,6'- (IUPAC 96)",T,pg/l
25512-42-9,DICHLOROBIPHENYL,T,pg/l
28655-71-2,TOTAL HEPTACHLOROBIPHENYLS,T,pg/l
26601-64-9,TOTAL HEXACHLOROBIPHENYLS,T,pg/l
27323-18-8,MONOCHLOROBIPHENYL,T,pg/l
53742-07-7,NONACHLOROBIPHENYL,T,pg/l
31472-83-0,OCTACHLOROBIPHENYL,T,pg/l
1336-36-3,"POLYCHLORINATED BIPHENYLS (PCBS), TOTAL,  (TOTAL IUPACS)",T,pg/l
25429-29-2,TOTAL PENTACHLOROBIPHENYLS,T,pg/l
26914-33-0,TETRACHLOROBIPHENYL,T,pg/l
25323-68-6,TRICHLOROBIPHENYL,T,pg/l
32598-14-4,"PENTACHLOROBIPHENYL, 2,3,3',4,4'- (IUPAC 105)",T,percent
74472-37-0,"PENTACHLOROBIPHENYL, 2,3,4,4',5- (IUPAC 114)",T,percent
31508-00-6,"PENTACHLOROBIPHENYL, 2,3',4,4',5- (IUPAC 118)",T,percent
65510-44-3,"PENTACHLOROBIPHENYL, 2',3,4,4',5- (IUPAC 123)",T,percent
57465-28-8,"PENTACHLOROBIPHENYL, 3,3',4,4',5- (IUPAC 126)",T,percent
2050-68-2,"DICHLOROBIPHENYL, 4,4'- (IUPAC 15)",T,percent
33979-03-2,"HEXACHLOROBIPHENYL, 2,2',4,4',6,6'- (IUPAC 155)",T,percent
PCB 156/157,PCB 156/157,T,percent
52663-72-6,"HEXACHLOROBIPHENYL, 2,3',4,4',5,5'- (IUPAC 167)",T,percent
32774-16-6,"HEXACHLOROBIPHENYL, 3,3',4,4',5,5'- (IUPAC 169)",T,percent
74487-85-7,"HEPTACHLOROBIPHENYL, 2,2',3,4',5,6,6'- (IUPAC 188)",T,percent
39635-31-9,"HEPTACHLOROBIPHENYL, 2,3,3',4,4',5,5'- (IUPAC 189)",T,percent
38444-73-4,"TRICHLOROBIPHENYL, 2,2',6- (IUPAC 19)",T,percent
2136-99-4,"OCTACHLOROBIPHENYL, 2,2',3,3',5,5',6,6'- (IUPAC 202)",T,percent
