data_provider,sys_sample_code,sample_matrix_code,sample_type_code,sample_delivery_group.x,year.sample,sample_date,analysis_date,sampledate_equals_analysisdate,sys_loc_code,lab_anl_method_name,fraction,test_type,lab_name_code,cas_rn,chemical_name,result_numeric,result_unit,reportable_result,detect_flag,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,validation_level
NYDEC21_WQX,05021006-06172003-WS,WS,N,0616W,2003,6/17/2003 10:00:00 AM,6/17/2003 10:00:00 AM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),8.06,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-06172003-WS,WS,N,0616W,2003,6/17/2003 10:00:00 AM,6/17/2003 10:00:00 AM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),8.06,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-07162003-WS,WS,N,0714W,2003,7/16/2003 9:00:00 AM,7/16/2003 9:00:00 AM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),8,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-07162003-WS,WS,N,0714W,2003,7/16/2003 9:00:00 AM,7/16/2003 9:00:00 AM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),8.01,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-08132003-WS,WS,N,0811W,2003,8/13/2003 8:00:00 AM,8/13/2003 8:00:00 AM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),7.83,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-08132003-WS,WS,N,0811W,2003,8/13/2003 8:00:00 AM,8/13/2003 8:00:00 AM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),7.5,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-09092003-WS,WS,N,0908W,2003,9/9/2003 8:00:00 AM,9/9/2003 8:00:00 AM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),8.1,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-09092003-WS,WS,N,0908W,2003,9/9/2003 8:00:00 AM,9/9/2003 8:00:00 AM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),8.1,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-09302003-WS,WS,N,0929W,2003,9/30/2003 9:00:00 AM,9/30/2003 9:00:00 AM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),8.04,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-09302003-WS,WS,N,0929W,2003,9/30/2003 9:00:00 AM,9/30/2003 9:00:00 AM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),7.7,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-10232003-WS,WS,N,1020W,2003,10/23/2003 8:00:00 AM,10/23/2003 8:00:00 AM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),7,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-10232003-WS,WS,N,1020W,2003,10/23/2003 8:00:00 AM,10/23/2003 8:00:00 AM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),8.04,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-11132003-WS,WS,N,1110W,2003,11/13/2003 8:00:00 AM,11/13/2003 8:00:00 AM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),7.7,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-11132003-WS,WS,N,1110W,2003,11/13/2003 8:00:00 AM,11/13/2003 8:00:00 AM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),8.1,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
