"site_id","sample_date","sys_sample_code","sample_source","sample_matrix_code","dec_sample_type_cde","lab_sample_type_cde","sample_type_code_combined","chemical_name","fraction","result_value","result_unit","lab_qualifiers","interpreted_qualifiers","validator_qualifiers","validator_qualifiers_equis","method_detection_limit","reporting_detection_limit","quantitation_limit","detection_limit_unit"
"13-PEEK-3.7",2008-09-15 14:00:00,"13011904-09152008-WS","","WS",,,"N","chloride (as cl)","T",67.4,"mg/l","","",,"",,,,""
"13-PEEK-3.7",2008-10-29 14:30:00,"13011904-10292008-WS","","WS",,,"N","chloride (as cl)","T",57.2,"mg/l","","",,"",,,,""
"13-PEEK-3.7",2008-10-07 14:00:00,"13011904-1072008-WS","","WS",,,"N","chloride (as cl)","T",78.2,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-04-28 13:00:00,"13012501-04282008-WS","","WS",,,"N","chloride (as cl)","T",45.5,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-04-08 10:20:00,"13012501-0482008-WS","","WS",,,"N","chloride (as cl)","T",42.9,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-05-21 10:15:00,"13012501-05212008-WS","","WS",,,"N","chloride (as cl)","T",50.7,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-06-10 11:00:00,"13012501-06102008-WS","","WS",,,"N","chloride (as cl)","T",57.1,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-06-30 11:00:00,"13012501-06302008-WS","","WS",,,"N","chloride (as cl)","T",57.1,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-07-29 10:00:00,"13012501-07292008-WS","","WS",,,"N","chloride (as cl)","T",41.9,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-08-19 10:00:00,"13012501-08192008-WS","","WS",,,"N","chloride (as cl)","T",52.7,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-09-15 10:25:00,"13012501-09152008-WS","","WS",,,"N","chloride (as cl)","T",56.2,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-10-28 09:45:00,"13012501-10282008-WS","","WS",,,"N","chloride (as cl)","T",50.8,"mg/l","","",,"",,,,""
"13-ONES-0.6",2008-10-07 11:00:00,"13012501-1072008-WS","","WS",,,"N","chloride (as cl)","T",59.4,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-04-29 10:00:00,"13012701-04292008-WS","","WS",,,"N","chloride (as cl)","T",58.7,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-04-09 10:50:00,"13012701-0492008-WS","","WS",,,"N","chloride (as cl)","T",57,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-05-21 09:35:00,"13012701-05212008-WS","","WS",,,"N","chloride (as cl)","T",49.2,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-06-09 10:10:00,"13012701-0692008-WS","","WS",,,"N","chloride (as cl)","T",51.5,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-07-02 09:30:00,"13012701-0722008-WS","","WS",,,"N","chloride (as cl)","T",52.6,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-07-28 09:50:00,"13012701-07282008-WS","","WS",,,"N","chloride (as cl)","T",61.3,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-08-20 10:30:00,"13012701-08202008-WS","","WS",,,"N","chloride (as cl)","T",62.2,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-09-17 12:30:00,"13012701-09172008-WS","","WS",,,"N","chloride (as cl)","T",55.8,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-10-30 10:15:00,"13012701-10302008-WS","","WS",,,"N","chloride (as cl)","T",58.2,"mg/l","","",,"",,,,""
"13-CROM-0.6",2008-10-08 10:15:00,"13012701-1082008-WS","","WS",,,"N","chloride (as cl)","T",61.6,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-04-29 11:00:00,"13064101-04292008-WS","","WS",,,"N","chloride (as cl)","T",42.6,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-04-09 12:10:00,"13064101-0492008-WS","","WS",,,"N","chloride (as cl)","T",44.9,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-05-21 10:40:00,"13064101-05212008-WS","","WS",,,"N","chloride (as cl)","T",39.1,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-06-09 11:25:00,"13064101-0692008-WS","","WS",,,"N","chloride (as cl)","T",55.4,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-07-02 10:30:00,"13064101-0722008-WS","","WS",,,"N","chloride (as cl)","T",63.5,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-07-28 11:00:00,"13064101-07282008-WS","","WS",,,"N","chloride (as cl)","T",68.1,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-08-20 11:30:00,"13064101-08202008-WS","","WS",,,"N","chloride (as cl)","T",70.7,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-09-17 11:30:00,"13064101-09172008-WS","","WS",,,"N","chloride (as cl)","T",59.7,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-10-30 11:15:00,"13064101-10302008-WS","","WS",,,"N","chloride (as cl)","T",40.6,"mg/l","","",,"",,,,""
"13-QKER-1.0",2008-10-08 11:20:00,"13064101-1082008-WS","","WS",,,"N","chloride (as cl)","T",62.7,"mg/l","","",,"",,,,""
"13-ROLF-2.4",2008-04-29 08:30:00,"13081002-04292008-WS","","WS",,,"N","chloride (as cl)","T",16.9,"mg/l","","",,"",,,,""
"13-ROLF-2.4",2008-04-07 08:30:00,"13081002-0472008-WS","","WS",,,"N","chloride (as cl)","T",15.7,"mg/l","","",,"",,,,""
"13-ROLF-2.4",2008-05-20 08:15:00,"13081002-05202008-WS","","WS",,,"N","chloride (as cl)","T",15.3,"mg/l","","",,"",,,,""
"13-ROLF-2.4",2008-06-09 08:30:00,"13081002-0692008-WS","","WS",,,"N","chloride (as cl)","T",16.7,"mg/l","","",,"",,,,""
"13-ROLF-2.4",2008-07-01 08:30:00,"13081002-0712008-WS","","WS",,,"N","chloride (as cl)","T",16.9,"mg/l","","",,"",,,,""
"13-ROLF-2.4",2008-07-28 09:00:00,"13081002-07282008-WS","","WS",,,"N","chloride (as cl)","T",17.7,"mg/l","","",,"",,,,""
"13-ROLF-2.4",2008-08-18 12:00:00,"13081002-08182008-WS","","WS",,,"N","chloride (as cl)","T",16.9,"mg/l","","",,"",,,,""
"13-ROLF-2.4",2008-09-16 08:30:00,"13081002-09162008-WS","","WS",,,"N","chloride (as cl)","T",16.8,"mg/l","","",,"",,,,""
"13-ROLF-2.4",2008-10-27 09:00:00,"13081002-10272008-WS","","WS",,,"N","chloride (as cl)","T",15.9,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-04-29 10:15:00,"16011112-04292008-WS","","WS",,,"N","chloride (as cl)","T",11.4,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-04-07 10:15:00,"16011112-0472008-WS","","WS",,,"N","chloride (as cl)","T",12.9,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-05-20 10:00:00,"16011112-05202008-WS","","WS",,,"N","chloride (as cl)","T",18.3,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-06-09 10:30:00,"16011112-0692008-WS","","WS",,,"N","chloride (as cl)","T",10.7,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-07-01 10:15:00,"16011112-0712008-WS","","WS",,,"N","chloride (as cl)","T",14.1,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-07-28 10:00:00,"16011112-07282008-WS","","WS",,,"N","chloride (as cl)","T",9.25,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-08-18 10:30:00,"16011112-08182008-WS","","WS",,,"N","chloride (as cl)","T",15.7,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-09-16 10:30:00,"16011112-09162008-WS","","WS",,,"N","chloride (as cl)","T",13.8,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-10-27 11:00:00,"16011112-10272008-WS","","WS",,,"N","chloride (as cl)","T",7.23,"mg/l","","",,"",,,,""
"16-GREE-2.5",2008-10-06 10:30:00,"16011112-1062008-WS","","WS",,,"N","chloride (as cl)","T",14.4,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-04-10 11:10:00,"16012100-04102008-WS","","WS",,,"N","chloride (as cl)","T",25.7,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-04-30 11:15:00,"16012100-04302008-WS","","WS",,,"N","chloride (as cl)","T",24.6,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-05-20 11:00:00,"16012100-05202008-WS","","WS",,,"N","chloride (as cl)","T",28.6,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-06-10 11:10:00,"16012100-06102008-WS","","WS",,,"N","chloride (as cl)","T",32.6,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-07-01 10:40:00,"16012100-0712008-WS","","WS",,,"N","chloride (as cl)","T",30.4,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-07-30 10:30:00,"16012100-07302008-WS","","WS",,,"N","chloride (as cl)","T",34.3,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-08-19 10:45:00,"16012100-08192008-WS","","WS",,,"N","chloride (as cl)","T",36.4,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-09-15 11:00:00,"16012100-09152008-WS","","WS",,,"N","chloride (as cl)","T",21.8,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-10-29 11:45:00,"16012100-10292008-WS","","WS",,,"N","chloride (as cl)","T",26.3,"mg/l","","",,"",,,,""
"16-SWMP-0.2",2008-10-07 14:00:00,"16012100-1072008-WS","","WS",,,"N","chloride (as cl)","T",39.4,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-04-30 10:30:00,"16012102-04302008-WS","","WS",,,"N","chloride (as cl)","T",23.8,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-04-09 10:25:00,"16012102-0492008-WS","","WS",,,"N","chloride (as cl)","T",22.9,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-05-20 10:15:00,"16012102-05202008-WS","","WS",,,"N","chloride (as cl)","T",25.3,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-06-10 10:20:00,"16012102-06102008-WS","","WS",,,"N","chloride (as cl)","T",47.7,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-07-01 10:00:00,"16012102-0712008-WS","","WS",,,"N","chloride (as cl)","T",24.1,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-07-30 09:45:00,"16012102-07302008-WS","","WS",,,"N","chloride (as cl)","T",24.7,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-08-19 10:10:00,"16012102-08192008-WS","","WS",,,"N","chloride (as cl)","T",30.2,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-09-15 10:15:00,"16012102-09152008-WS","","WS",,,"N","chloride (as cl)","T",23,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-10-29 11:00:00,"16012102-10292008-WS","","WS",,,"N","chloride (as cl)","T",23.9,"mg/l","","",,"",,,,""
"16-WASS-1.2",2008-10-07 10:15:00,"16012102-1072008-WS","","WS",,,"N","chloride (as cl)","T",27.2,"mg/l","","",,"",,,,""
"01-NIAG-0.2",2008-04-22 08:45:00,"01010001-04222008-WS","","WS",,,"N","chloride (as cl)","T",17.8,"mg/l","","",,"",,,,""
"01-NIAG-0.2",2008-05-14 09:15:00,"01010001-05142008-WS","","WS",,,"N","chloride (as cl)","T",18.4,"mg/l","","",,"",,,,""
"01-NIAG-0.2",2008-06-24 08:15:00,"01010001-06242008-WS","","WS",,,"N","chloride (as cl)","T",21,"mg/l","","",,"",,,,""
"01-NIAG-0.2",2008-07-15 08:45:00,"01010001-07152008-WS","","WS",,,"N","chloride (as cl)","T",17.6,"mg/l","","",,"",,,,""
"01-NIAG-0.2",2008-09-03 08:45:00,"01010001-0932008-WS","","WS",,,"N","chloride (as cl)","T",19.2,"mg/l","","",,"",,,,""
"01-NIAG-0.2",2008-10-21 08:30:00,"01010001-10212008-WS","","WS",,,"N","chloride (as cl)","T",18.8,"mg/l","","",,"",,,,""
"01-BUFF-1.7",2008-04-22 13:00:00,"01031002-04222008-WS","","WS",,,"N","chloride (as cl)","T",63.3,"mg/l","","",,"",,,,""
"01-BUFF-1.7",2008-05-14 13:20:00,"01031002-05142008-WS","","WS",,,"N","chloride (as cl)","T",63.1,"mg/l","","",,"",,,,""
"01-BUFF-1.7",2008-06-24 13:00:00,"01031002-06242008-WS","","WS",,,"N","chloride (as cl)","T",47,"mg/l","","",,"",,,,""
"01-BUFF-1.7",2008-07-15 12:50:00,"01031002-07152008-WS","","WS",,,"N","chloride (as cl)","T",69.9,"mg/l","","",,"",,,,""
"01-BUFF-1.7",2008-09-03 13:00:00,"01031002-0932008-WS","","WS",,,"N","chloride (as cl)","T",54.3,"mg/l","","",,"",,,,""
"01-BUFF-1.7",2008-10-21 12:45:00,"01031002-10212008-WS","","WS",,,"N","chloride (as cl)","T",32.5,"mg/l","","",,"",,,,""
"02-ALGY-20.3",2008-04-22 11:00:00,"02010023-04222008-WS","","WS",,,"N","chloride (as cl)","T",16,"mg/l","","",,"",,,,""
"02-ALGY-20.3",2008-05-14 11:40:00,"02010023-05142008-WS","","WS",,,"N","chloride (as cl)","T",13.8,"mg/l","","",,"",,,,""
"02-ALGY-20.3",2008-06-24 10:45:00,"02010023-06242008-WS","","WS",,,"N","chloride (as cl)","T",18.9,"mg/l","","",,"",,,,""
"02-ALGY-20.3",2008-07-15 11:00:00,"02010023-07152008-WS","","WS",,,"N","chloride (as cl)","T",13.6,"mg/l","","",,"",,,,""
"02-ALGY-20.3",2008-09-03 11:15:00,"02010023-0932008-WS","","WS",,,"N","chloride (as cl)","T",32.6,"mg/l","","",,"",,,,""
"02-ALGY-20.3",2008-10-21 10:45:00,"02010023-10212008-WS","","WS",,,"N","chloride (as cl)","T",25.4,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-04-15 11:00:00,"03031302-04152008-WS","","WS",,,"N","chloride (as cl)","T",17.7,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-05-28 09:00:00,"03031302-05282008-WS","","WS",,,"N","chloride (as cl)","T",21.1,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-05-05 15:00:00,"03031302-0552008-WS","","WS",,,"N","chloride (as cl)","T",24.6,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-06-17 10:00:00,"03031302-06172008-WS","","WS",,,"N","chloride (as cl)","T",32.4,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-07-10 09:00:00,"03031302-07102008-WS","","WS",,,"N","chloride (as cl)","T",37.2,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-08-26 10:00:00,"03031302-08262008-WS","","WS",,,"N","chloride (as cl)","T",24.2,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-08-04 10:30:00,"03031302-0842008-WS","","WS",,,"N","chloride (as cl)","T",29.9,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-09-23 09:00:00,"03031302-09232008-WS","","WS",,,"N","chloride (as cl)","T",30.1,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-10-14 09:00:00,"03031302-10142008-WS","","WS",,,"N","chloride (as cl)","T",24.8,"mg/l","","",,"",,,,""
"03-SAND-2.7",2008-11-03 10:00:00,"03031302-1132008-WS","","WS",,,"N","chloride (as cl)","T",14.8,"mg/l","","",,"",,,,""
"04-GENS-2.6",2008-04-23 11:00:00,"04010003-04232008-WS","","WS",,,"N","chloride (as cl)","T",49.4,"mg/l","","",,"",,,,""
"04-GENS-2.6",2008-05-14 11:00:00,"04010003-05142008-WS","","WS",,,"N","chloride (as cl)","T",57,"mg/l","","",,"",,,,""
"04-GENS-2.6",2008-06-23 10:00:00,"04010003-06232008-WS","","WS",,,"N","chloride (as cl)","T",58,"mg/l","","",,"",,,,""
"04-GENS-2.6",2008-07-16 11:00:00,"04010003-07162008-WS","","WS",,,"N","chloride (as cl)","T",78,"mg/l","","",,"",,,,""
"04-GENS-2.6",2008-09-03 11:00:00,"04010003-0932008-WS","","WS",,,"N","chloride (as cl)","T",55.8,"mg/l","","",,"",,,,""
"04-GENS-2.6",2008-10-20 12:00:00,"04010003-10202008-WS","","WS",,,"N","chloride (as cl)","T",60.3,"mg/l","","",,"",,,,""
"05-CHEM-5.4",2008-05-27 09:30:00,"05010005-05272008-WS","","WS",,,"N","chloride (as cl)","T",36.9,"mg/l","","",,"",,,,""
"05-CHEM-5.4",2008-05-05 10:00:00,"05010005-0552008-WS","","WS",,,"N","chloride (as cl)","T",25.2,"mg/l","","",,"",,,,""
"05-CHEM-5.4",2008-07-09 11:00:00,"05010005-0792008-WS","","WS",,,"N","chloride (as cl)","T",57.1,"mg/l","","",,"",,,,""
"05-CHEM-5.4",2008-08-26 08:30:00,"05010005-08262008-WS","","WS",,,"N","chloride (as cl)","T",85.8,"mg/l","","",,"",,,,""
"05-CHEM-5.4",2008-10-14 08:45:00,"05010005-10142008-WS","","WS",,,"N","chloride (as cl)","T",65.9,"mg/l","","",,"",,,,""
"05-CHEM-5.4",2008-11-04 08:45:00,"05010005-1142008-WS","","WS",,,"N","chloride (as cl)","T",49,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-04-15 10:00:00,"05011201-04152008-WS","","WS",,,"N","chloride (as cl)","T",59,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-05-27 11:00:00,"05011201-05272008-WS","","WS",,,"N","chloride (as cl)","T",97.8,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-05-05 11:00:00,"05011201-0552008-WS","","WS",,,"N","chloride (as cl)","T",37.4,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-06-17 10:00:00,"05011201-06172008-WS","","WS",,,"N","chloride (as cl)","T",107,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-07-09 10:00:00,"05011201-0792008-WS","","WS",,,"N","chloride (as cl)","T",125,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-08-26 10:30:00,"05011201-08262008-WS","","WS",,,"N","chloride (as cl)","T",134,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-08-05 08:30:00,"05011201-0852008-WS","","WS",,,"N","chloride (as cl)","T",130,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-09-23 08:45:00,"05011201-09232008-WS","","WS",,,"N","chloride (as cl)","T",134,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-10-14 10:45:00,"05011201-10142008-WS","","WS",,,"N","chloride (as cl)","T",140,"mg/l","","",,"",,,,""
"05-NEWT-1.2",2008-11-04 10:00:00,"05011201-1142008-WS","","WS",,,"N","chloride (as cl)","T",104,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-04-15 14:30:00,"05021006-04152008-WS","","WS",,,"N","chloride (as cl)","T",111,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-05-27 14:00:00,"05021006-05272008-WS","","WS",,,"N","chloride (as cl)","T",83,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-05-05 14:00:00,"05021006-0552008-WS","","WS",,,"N","chloride (as cl)","T",114,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-06-17 14:00:00,"05021006-06172008-WS","","WS",,,"N","chloride (as cl)","T",129,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-07-09 07:30:00,"05021006-0792008-WS","","WS",,,"N","chloride (as cl)","T",65,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-08-26 13:30:00,"05021006-08262008-WS","","WS",,,"N","chloride (as cl)","T",70.4,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-08-05 13:30:00,"05021006-0852008-WS","","WS",,,"N","chloride (as cl)","T",175,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-09-23 13:30:00,"05021006-09232008-WS","","WS",,,"N","chloride (as cl)","T",81.5,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-10-14 14:00:00,"05021006-10142008-WS","","WS",,,"N","chloride (as cl)","T",72,"mg/l","","",,"",,,,""
"05-COHO-5.9",2008-11-04 13:00:00,"05021006-1142008-WS","","WS",,,"N","chloride (as cl)","T",58.3,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-04-15 13:20:00,"05032110-04152008-WS","","WS",,,"N","chloride (as cl)","T",23,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-05-28 12:30:00,"05032110-05282008-WS","","WS",,,"N","chloride (as cl)","T",37.9,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-05-06 13:00:00,"05032110-0562008-WS","","WS",,,"N","chloride (as cl)","T",28.8,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-06-17 13:00:00,"05032110-06172008-WS","","WS",,,"N","chloride (as cl)","T",47.5,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-07-08 16:00:00,"05032110-0782008-WS","","WS",,,"N","chloride (as cl)","T",48.8,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-08-27 12:30:00,"05032110-08272008-WS","","WS",,,"N","chloride (as cl)","T",57.9,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-08-05 12:00:00,"05032110-0852008-WS","","WS",,,"N","chloride (as cl)","T",59.2,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-09-23 12:00:00,"05032110-09232008-WS","","WS",,,"N","chloride (as cl)","T",65.9,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-10-15 12:45:00,"05032110-10152008-WS","","WS",,,"N","chloride (as cl)","T",61.6,"mg/l","","",,"",,,,""
"05-STEO-9.7",2008-11-05 12:15:00,"05032110-1152008-WS","","WS",,,"N","chloride (as cl)","T",48.2,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-04-16 12:00:00,"05032134-04162008-WS","","WS",,,"N","chloride (as cl)","T",35.8,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-05-28 11:30:00,"05032134-05282008-WS","","WS",,,"N","chloride (as cl)","T",55.4,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-05-06 11:00:00,"05032134-0562008-WS","","WS",,,"N","chloride (as cl)","T",32.3,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-06-18 11:30:00,"05032134-06182008-WS","","WS",,,"N","chloride (as cl)","T",57.8,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-07-08 14:00:00,"05032134-0782008-WS","","WS",,,"N","chloride (as cl)","T",71.6,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-08-27 11:00:00,"05032134-08272008-WS","","WS",,,"N","chloride (as cl)","T",78.7,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-08-06 12:00:00,"05032134-0862008-WS","","WS",,,"N","chloride (as cl)","T",77.7,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-09-24 11:30:00,"05032134-09242008-WS","","WS",,,"N","chloride (as cl)","T",80.7,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-10-15 11:15:00,"05032134-10152008-WS","","WS",,,"N","chloride (as cl)","T",80.1,"mg/l","","",,"",,,,""
"05-STEO-33.9",2008-11-05 11:00:00,"05032134-1152008-WS","","WS",,,"N","chloride (as cl)","T",67.5,"mg/l","","",,"",,,,""
"05-COWS-0.6",2008-04-15 12:00:00,"05032201-04152008-WS","","WS",,,"N","chloride (as cl)","T",7.15,"mg/l","","",,"",,,,""
"05-COWS-0.6",2008-05-27 12:00:00,"05032201-05272008-WS","","WS",,,"N","chloride (as cl)","T",9.03,"mg/l","","",,"",,,,""
